T_explore_epochs,T_explore_markov,epoch,epsilon,epsilon_derivative,hidden_eff_rank,hidden_entropy,hidden_k,phase,tau,test_acc,train_acc,train_loss,weight_decay
0.2540110767196329,5.262660528136417,350,0.01900179566311708,2.1990596055901015e-05,35.881431579589844,3.5802199840545654,49,quench,20.718232433403394,0.0,0.7611622962437987,2.347079423367766,2.0
0.0596000552980835,5.96000552980835,375,0.01677850792249443,-2.037636097644471e-06,34.50895690917969,3.5412189960479736,48,quench,100.0,0.0,0.689227498228207,2.5051714280748265,2.0
0.10238640042178604,6.060193882438069,400,0.016501122231384637,-2.3421311646712927e-05,33.245182037353516,3.5039098262786865,46,quench,59.18944173711341,0.0,0.6343019135364989,2.6228766995571253,2.0
0.20596584642618312,6.707090206149502,425,0.014909595208412944,-4.257126156169944e-05,32.08402633666992,3.468358278274536,45,quench,32.564089253279576,0.0001518141794443601,0.5871722182849043,2.7102181375829315,2.0
0.24915495158098921,6.558162105671413,450,0.015248174471552222,-5.266751551065282e-05,31.049156188964844,3.4355716705322266,43,quench,26.32162059817481,0.0,0.556343019135365,2.772086321251516,2.0
0.2739978084461644,7.0497582034274275,475,0.01418488366755364,-5.3880091465187494e-05,30.12801170349121,3.4054553508758545,42,quench,25.72925033016305,0.0,0.5237420269312544,2.8129879128924506,2.0
0.27705556787503943,7.5227525340805,500,0.013293006721538119,-5.10558561805705e-05,29.320077896118164,3.378272533416748,41,quench,27.152504429990348,0.0,0.4943302622253721,2.8378219386519143,2.0
0.24209798746646516,7.829887069035949,525,0.012771576284345115,-4.2863846170971344e-05,28.619964599609375,3.354104518890381,40,quench,32.34180982244029,0.0,0.4890148830616584,2.847509392603841,2.0
0.17631046862611557,7.283800968764746,550,0.013729095623127512,-3.3556409560191495e-05,28.0106258392334,3.3325839042663574,38,quench,41.312356693979375,0.0,0.47058823529411764,2.846097880606107,2.0
0.12159595465044065,7.354422288428998,575,0.013597261087024326,-2.2920602007326958e-05,27.48934555053711,3.313798427581787,37,quench,60.48245856180994,0.0,0.47519489723600283,2.8359877564736413,2.0
0.08106502732657403,7.34847950079469,600,0.013608257325775442,-1.5292958258195625e-05,27.0421085357666,3.2973952293395996,36,quench,90.64919538225797,0.0,0.4801559177888023,2.818651665870726,2.0
0.07201408401674031,7.201408401674032,625,0.013886172596009707,-1.0372672336957013e-05,26.662771224975586,3.2832682132720947,35,quench,100.0,0.0,0.47944720056697376,2.796141496877312,2.0
0.07003741231706226,7.003741231706226,650,0.014278083197491059,-3.9346595153320034e-06,26.330127716064453,3.2707138061523438,34,quench,100.0,0.0,0.4911410347271439,2.7697698187946345,2.0
0.07366759549771765,7.366759549771764,675,0.013574489478633545,-2.1979952160388873e-06,26.03188705444336,3.259322166442871,34,quench,100.0,0.0,0.5038979447200567,2.7408793499755317,2.0
0.07009393448764521,7.009393448764522,700,0.01426656967267632,2.598864259127154e-06,25.77238655090332,3.2493035793304443,33,quench,100.0,0.0,0.502834868887314,2.7096980653866902,2.0
0.06693798146099972,6.693798146099971,725,0.014939201603840312,6.503771766837032e-06,25.53263282775879,3.239957332611084,32,quench,100.0,0.0,0.5216158752657689,2.6793211616580996,2.0
0.062436272050383136,6.2436272050383135,750,0.016016331006967345,1.0014711359249752e-05,25.31674575805664,3.231466054916382,31,quench,100.0,0.0,0.5279943302622254,2.6485146536715565,2.0
0.06412970438651255,6.412970438651255,775,0.015593397935735926,9.892007067768111e-06,25.133861541748047,3.2242159843444824,31,quench,100.0,0.0,0.5393338058114813,2.6206813487154976,2.0
0.059494407515064206,5.949440751506421,800,0.016808302524011123,1.360523264738986e-05,24.95626449584961,3.2171249389648438,30,quench,100.0,0.0,0.5460666194188519,2.5935783722483463,2.0
0.06062410523517234,6.062410523517234,825,0.016495088811963682,1.47905752919015e-05,24.803627014160156,3.2109899520874023,30,quench,100.0,0.0,0.5605953224663359,2.5679833461510047,2.0
